rooms,garages,useful_area,value,interior_quality,time_on_market,has_outlier
2.0,2.0,109.0,779362.0,4,64.0,0
4.0,3.0,175.0,1996880.0,2,281.96825286571084,0
4.0,3.0,283.0,2984890.0,2,227.7785980582253,0
3.0,2.0,130.0,1158350.0,5,16.206390896047544,0
4.0,3.0,152.0,2058970.0,2,220.40085195491864,0
3.0,2.0,93.0,1089690.0,1,50.13815751536952,0
4.0,3.0,207.0,2804460.0,4,11.371722353886302,0
4.0,3.0,240.0,2994020.0,3,221.43083212148483,0
1.0,1.0,40.0,323201.0,1,12.0,0
4.0,3.0,170.0,2364270.0,5,153.41886907653225,0
3.0,3.0,213.0,2610140.0,1,37.80128606509078,0
2.0,1.0,89.0,814087.0,5,6.0,0
2.0,1.0,60.0,764942.0,3,315.04240878887816,0
3.0,2.0,209.0,2038350.0,4,138.6513442253706,0
3.0,2.0,70.0,512781.0,1,146.0,0
1.0,1.0,55.0,745477.0,4,257.96793559045244,0
4.0,2.0,175.0,1475740.0,2,3.0,0
3.0,2.0,83.0,732860.0,4,12.0,0
3.0,2.0,105.0,919942.0,4,159.0,0
3.0,2.0,72.0,636575.0,1,74.0,0
3.0,1.0,97.0,1010260.0,4,61.14703985305064,0
3.0,2.0,145.0,1731280.0,3,98.47211738673376,0
2.0,1.0,60.0,397315.0,4,252.0,0
3.0,3.0,94.0,703298.0,4,106.0,0
3.0,1.0,68.0,478831.0,3,157.0,0
2.0,2.0,142.0,1527630.0,1,7.0,0
2.0,13.0,80.0,722388.0,2,167.65485825753922,1
4.0,3.0,310.0,3991790.0,2,309.29266677941933,0
7.0,2.0,184.0,2493960.0,5,63.232150103354165,1
2.0,2.0,90.0,1020790.0,4,72.42037316753469,0
3.0,3.0,140.0,1179540.0,2,78.0,0
2.0,2.0,144.0,2407070.0,2,138.0,0
4.0,4.0,341.0,3306050.0,4,205.01114295799027,0
3.0,2.0,120.0,832444.0,4,175.99857137336238,0
2.0,1.0,70.0,536915.0,2,117.0,0
1.0,1.0,80.0,1158280.0,4,25.05996648609709,0
3.0,2.0,119.0,655278.0,4,297.5534885593913,0
2.0,1.0,121.0,900060.0,5,45.0,0
3.0,1.0,160.0,2168660.0,1,98.59008724948723,0
3.0,1.0,110.0,1140550.0,5,69.5041831025196,0
4.0,4.0,240.0,2134520.0,2,59.0,0
1.0,1.0,28.0,356810.0,3,119.0,0
3.0,2.0,230.0,2220550.0,5,143.6769073168774,0
3.0,2.0,67.0,378000.0,2,19.0,0
2.0,1.0,88.0,986162.0,4,121.8955673345128,0
3.0,1.0,84.0,495020.0,5,8.0,0
2.0,2.0,75.0,935669.0,5,10.0,0
3.0,2.0,74.0,565307.0,4,151.0,0
2.0,1.0,61.0,538356.0,1,206.0,0
3.0,3.0,230.0,2647680.0,3,51.0,0
3.0,2.0,115.0,1052130.0,1,157.11213118001675,0
2.0,1.0,130.0,842699.0,3,41.0,0
3.0,2.0,107.0,908923.0,3,9.554926349136961,0
3.0,2.0,180.0,1994630.0,5,277.0,0
4.0,3.0,243.0,1771160.0,2,63.11690383182544,0
1.0,1.0,58.0,768703.0,2,113.06253528819235,0
1.0,1.0,44.0,550890.0,5,163.0,0
4.0,3.0,191.0,1653540.0,3,102.8889276406138,0
3.0,3.0,88.0,790770.0,1,1767.99,1
3.0,2.0,90.0,666558.0,3,9.128716490052296,0
3.0,1.0,170.0,4016990.0,3,353.0877798301693,0
3.0,2.0,149.0,958575.0,3,238.0,0
3.0,1.0,214.0,2650910.0,4,341.53294132671886,0
2.0,1.0,65.0,311630.0,3,75.41941378790406,0
4.0,4.0,278.0,3157850.0,4,284.77778351192904,0
4.0,4.0,240.0,1030110.0,1,7.0,0
3.0,2.0,130.0,1103580.0,3,2.0,0
4.0,4.0,246.0,2869000.0,3,200.0,0
3.0,1.0,140.0,2053820.0,4,313.6051983189085,0
3.0,3.0,195.0,2758470.0,2,69.40310886663296,0
3.0,1.0,130.0,1298780.0,1,225.39309268847407,0
4.0,3.0,170.0,2050860.0,2,180.74243716058376,0
3.0,1.0,67.0,379334.0,3,62.0,0
4.0,2.0,120.0,850094.0,1,109.0,0
2.0,2.0,120.0,1750260.0,3,160.0,0
3.0,3.0,210.0,2277710.0,2,110.96810448977608,0
4.0,4.0,296.0,2286000.0,1,119.53552531330584,0
2.0,2.0,73.0,937441.0,1,233.57045670066185,0
3.0,1.0,150.0,1419220.0,2,155.0,0
3.0,15.0,150.0,1117590.0,2,175.0,1
1.0,2.0,78.0,1702130.0,3,235.3574072584953,0
3.0,4.0,287.0,2503600.0,2,215.0,0
3.0,2.0,110.0,831148.0,1,58.0,0
1.0,2.0,88.0,1189650.0,5,37.10933872171814,0
3.0,2.0,134.0,1594550.0,1,4.794308918719397,0
3.0,2.0,100.0,1028770.0,5,9.0,0
3.0,1.0,102.0,988660.0,2,185.9640435774667,0
4.0,5.0,346.0,4643780.0,4,138.47370690068692,0
5.0,5.0,389.0,4010770.0,3,10.713766813095939,0
4.0,3.0,217.0,2043800.0,4,113.19660544781048,0
4.0,3.0,185.0,1761900.0,4,137.5674665039444,0
3.0,2.0,120.0,1440900.0,1,221.90780818710726,0
3.0,3.0,320.0,2637470.0,3,3141.0,1
3.0,3.0,242.0,1787280.0,4,204.46966275622384,0
12.0,1.0,115.0,1434690.0,1,83.0,1
4.0,3.0,407.0,3960300.0,4,235.44436092536682,0
2.0,1.0,124.0,632185.0,1,24.0,0
3.0,2.0,104.0,753411.0,2,52.0,0
2.0,1.0,45.0,464574.0,4,111.0,0
2.0,3.0,2493.51,1540730.0,5,48.12932865905924,1
2.0,1.0,49.0,237086.0,3,102.0,0
3.0,2.0,165.0,1909770.0,5,180.68704077060008,0
2.0,2.0,102.0,1219360.0,3,31.589711438100142,0
3.0,1.0,180.0,1674240.0,1,34.23059293718518,0
2.0,1.0,55.0,490071.0,1,21.866797009324824,0
3.0,3.0,167.0,3393790.0,2,154.50286898309642,0
1.0,1.0,47.0,559284.0,2,222.54965315808445,0
2.0,1.0,65.0,775189.0,3,203.25775503701587,0
3.0,1.0,175.0,2371970.0,4,120.96238251886194,0
4.0,1.0,107.0,1095280.0,1,26.0,0
4.0,4.0,216.0,2393940.0,2,215.0,0
2.0,2.0,84.0,678651.0,3,28.0,0
3.0,19.0,112.0,2726970.0,3,117.52564679223451,1
4.0,2.0,260.0,2650610.0,3,5.0,0
4.0,3.0,138.0,1460690.0,4,110.0,0
3.0,1.0,70.0,776781.0,3,64.67698534477253,0
3.0,3.0,150.0,1060410.0,5,227.562956517544,0
4.0,4.0,316.0,4182400.0,3,263.2943680006396,0
4.0,4.0,288.0,2510410.0,4,123.0,0
2.0,1.0,62.0,962504.0,4,302.31151640169895,0
3.0,2.0,105.0,788374.0,5,198.83042881065217,0
3.0,2.0,126.0,1387140.0,5,200.3781508476757,0
3.0,4.0,380.0,2192900.0,3,315.2905502747294,0
3.0,1.0,245.0,2745560.0,1,77.30392923360635,0
3.0,1.0,58.0,322568.0,5,4.399156158845897,0
3.0,3.0,103.0,1322690.0,4,182.88587706594288,0
4.0,2.0,196.0,2256290.0,4,152.96284140487978,0
3.0,1.0,110.0,1043120.0,1,46.998915521147204,0
4.0,2.0,192.0,1877340.0,3,56.787026499023334,0
3.0,2.0,100.0,850325.0,1,127.12549689469192,0
2.0,1.0,57.0,528370.0,1,248.72377190731828,0
4.0,3.0,420.0,38204.94,3,227.98773445542892,1
4.0,2.0,125.0,1527350.0,3,97.0,0
4.0,3.0,370.0,3363480.0,5,160.3044876595039,0
3.0,3.0,152.0,1438380.0,1,4.0,0
2.0,1.0,65.0,377427.0,3,76.69923982941731,0
3.0,1.0,90.0,790355.0,2,124.18347465835619,0
1.0,1.0,50.0,608534.0,5,27.77246451662313,0
2.0,3.0,140.0,2560580.0,3,290.1951537980145,0
4.0,3.0,201.0,2200070.0,2,267.0,0
3.0,2.0,92.0,1212310.0,3,179.12619959527282,0
1.0,1.0,75.0,814812.0,4,134.97786385079678,0
4.0,4.0,336.0,3543890.0,2,333.28380486775205,0
3.0,2.0,130.0,1685450.0,5,27.346384413079186,0
3.0,1.0,108.0,971011.0,4,171.0,0
4.0,4.0,157.0,1890830.0,9,269.44703574558184,1
1.0,1.0,40.0,426256.0,2,121.0,0
3.0,2.0,97.0,871258.0,3,90.0,0
2.0,1.0,120.0,1344770.0,1,190.09489320558484,0
3.0,2.0,94.0,691340.0,5,92.29332961124638,0
2.0,1.0,110.0,997790.0,3,37.0,0
1.0,1.0,38.0,301331.0,4,32.0,0
3.0,2.0,184.0,1922480.0,1,186.95408676216329,0
1.0,2.0,115.0,1714880.0,3,136.28521408856858,0
3.0,2.0,94.0,1107070.0,5,21.0,0
3.0,1.0,113.0,1257030.0,3,220.05288631779044,0
4.0,3.0,160.0,1235670.0,2,9.792930723877607,0
2.0,2.0,151.0,1853840.0,4,281.4718833201576,0
3.0,2.0,140.0,2700610.0,2,338.5471094011764,0
2.0,1.0,59.0,661177.0,3,23.743275043897253,0
4.0,3.0,397.0,4206820.0,3,329.0901063806644,0
2.0,2.0,138.0,2111660.0,3,353.7203082261741,0
3.0,2.0,123.0,1024140.0,1,3.642621589517376,0
4.0,2.0,97.0,831836.0,3,54.55434861165207,0
2.0,1.0,68.0,673546.0,3,7.758027066816973,0
3.0,1.0,120.0,1088500.0,5,32.880959808490736,0
3.0,2.0,115.0,845413.0,5,202.37575550044517,0
3.0,2.0,75.0,903114.0,4,256.09401074436346,0
3.0,3.0,324.0,2597130.0,3,258.96546271616694,0
4.0,4.0,200.0,1852590.0,2,104.0,0
2.0,1.0,120.0,833659.0,5,159.0,0
4.0,3.0,432.0,2880390.0,2,32.9109890753912,0
3.0,1.0,137.0,1231750.0,2,238.79238867878212,0
3.0,2.0,126.0,1083090.0,1,149.23481549543322,0
4.0,3.0,230.0,3220590.0,3,116.53551608664915,0
2.0,1.0,69.0,654853.0,1,20.29086269533752,0
2.0,1.0,70.0,430858.0,2,56.0,0
2.0,1.0,45.0,296055.0,2,2.0,0
1.0,1.0,43.0,537501.0,1,1.0,0
4.0,2.0,213.0,2091760.0,4,57.59466840762958,0
3.0,1.0,115.0,1269220.0,1,60.0,0
4.0,3.0,185.0,2296850.0,4,196.6021235862997,0
4.0,1.0,140.0,1617690.0,5,9.1211357956072,0
2.0,1.0,122.0,1228900.0,3,135.6408435898355,0
2.0,1.0,69.0,714706.0,3,292.31340004082415,0
2.0,2.0,118.0,998227.0,5,134.0,0
3.0,4.0,181.0,2287730.0,2,145.44427431656925,0
2.0,1.0,64.0,468317.0,2,18.0,0
2.0,2.0,2448.66,540193.0,4,60.0,1
2.0,1.0,62.0,423576.0,2,134.0,0
3.0,4.0,221.0,2002860.0,1,76.27500289413473,0
1.0,1.0,50.0,607119.0,1,1.0,0
4.0,3.0,175.0,2292050.0,4,212.9666397911969,0
3.0,2.0,170.0,1884890.0,1,109.0,0
2.0,2.0,61.0,440208.0,2,74.0,0
2.0,1.0,70.0,440079.0,1,9.0,0
4.0,4.0,260.0,3694350.0,4,28.192213838879038,0
3.0,1.0,86.0,905232.0,3,15.876412850434287,0
2.0,1.0,58.0,371633.0,2,63.0,0
1.0,1.0,0.99,422904.0,1,19.0,1
2.0,1.0,57.0,363640.0,2,0.14176620804141835,0
4.0,3.0,300.0,3860240.0,1,59.382013201350745,0
3.0,3.0,199.0,2203570.0,2,294.0,0
4.0,3.0,220.0,2655830.0,2,232.77839697247882,0
3.0,2.0,107.0,612682.0,4,143.0,0
2.0,1.0,66.0,785954.0,1,175.55742295894126,0
4.0,4.0,314.0,3759650.0,2,42.25761137783449,0
3.0,1.0,106.0,1220240.0,4,1.0,0
2.0,1.0,70.0,624989.0,2,130.0,0
2.0,1.0,88.0,967921.0,4,330.7218728887307,0
3.0,1.0,85.0,771019.0,5,17.0,0
1.0,2.0,60.0,758945.0,3,223.6386126188651,0
2.0,1.0,76.0,757373.0,3,224.17677073975437,0
4.0,4.0,247.0,2027420.0,5,78.24858258078177,0
2.0,1.0,80.0,690572.0,5,46.0,0
2.0,2.0,70.0,522071.0,5,4.0,0
3.0,3.0,100.0,774650.0,5,40.0,0
3.0,2.0,191.0,2243550.0,4,178.5280216346976,0
4.0,4.0,320.0,2265800.0,5,92.78959653615568,0
3.0,1.0,66.0,322934.0,3,20.0,0
4.0,3.0,280.0,1786500.0,3,43.0,0
3.0,2.0,120.0,606848.0,3,44.0,0
3.0,1.0,75.0,606917.0,1,47.0,0
4.0,3.0,198.0,1871710.0,5,162.53109114818662,0
4.0,2.0,120.0,1731980.0,3,18.79647815889112,0
3.0,1.0,140.0,1218650.0,1,76.93561314322146,0
1.0,2.0,59.0,639685.0,5,114.51207229067732,0
3.0,2.0,112.0,891334.0,4,112.0,0
1.0,1.0,25.0,488004.0,4,54.56438935781669,0
4.0,2.0,230.0,2961590.0,3,331.0047319158593,0
2.0,2.0,108.0,1606910.0,1,54.0,0
3.0,2.0,103.0,1201810.0,1,148.82597906705539,0
2.0,1.0,60.0,514406.0,3,18.0,0
3.0,2.0,109.0,1417570.0,3,0.4678308938993059,0
3.0,1.0,184.0,1490500.0,1,74.7788385128304,0
3.0,3.0,125.0,1458510.0,3,147.0686083200133,0
3.0,1.0,97.0,989767.0,2,59.0,0
4.0,5.0,245.0,1436650.0,5,161.0,0
1.0,1.0,40.0,530060.0,5,11.0,0
4.0,3.0,206.0,2947930.0,4,49.201660501857184,0
2.0,1.0,54.0,716982.0,1,50.746144506598995,0
3.0,3.0,171.0,1200750.0,5,97.0,0
4.0,3.0,243.0,3420660.0,4,143.7895055874323,0
4.0,2.0,243.0,2212800.0,1,97.0,0
3.0,3.0,324.0,2984290.0,2,243.0,0
2.0,1.0,75.0,701197.0,4,67.0,0
3.0,1.0,111.0,1544130.0,4,345.46844277312437,0
3.0,1.0,168.0,1744300.0,5,215.4560496168499,0
3.0,2.0,77.0,497000.0,2,174.0,0
4.0,5.0,398.0,4977320.0,2,262.6466616743005,0
2.0,2.0,98.0,1051810.0,2,80.0,0
2.0,2.0,73.0,1125740.0,5,174.91414257447914,0
3.0,2.0,65.0,636445.0,5,25.0,0
2.0,2.0,55.0,485483.0,2,51.39230278003107,0
3.0,1.0,220.0,2089500.0,5,78.0,0
4.0,2.0,144.0,1412620.0,1,78.0,0
4.0,2.0,132.0,1352740.0,1,48.0,0
3.0,4.0,182.0,2591080.0,3,156.0,0
4.0,3.0,185.0,2506920.0,1,69.0,0
2.0,1.0,88.0,1412840.0,4,42.9675373748413,0
4.0,4.0,169.0,1632310.0,4,139.02093079409408,0
2.0,1.0,70.0,518434.0,4,7.0,0
3.0,2.0,106.0,1375250.0,5,183.6928353201484,0
4.0,5.0,334.0,2938270.0,1,319.1445583107838,0
3.0,2.0,121.0,913157.0,3,46.964729380574205,0
4.0,20.0,190.0,2079680.0,4,264.6821577907658,1
2.0,1.0,60.0,485036.0,2,152.0,0
3.0,1.0,105.0,1054590.0,5,57.69168092552378,0
3.0,1.0,91.0,845699.0,2,84.0,0
3.0,1.0,110.0,997790.0,2,99.27106210996277,0
3.0,1.0,104.0,798571.0,5,131.2775318648173,0
4.0,4.0,176.0,1879690.0,3,143.0,0
3.0,2.0,107.0,902055.0,4,6.293563583330504,0
4.0,4.0,4515.35,2690950.0,3,2961.49,1
2.0,1.0,44.0,588688.0,2,45.853539550106255,0
1.0,1.0,50.0,720514.0,5,91.59282146969306,0
3.0,2.0,124.0,1679400.0,1,170.3965975146382,0
3.0,1.0,103.0,1268960.0,1,145.63180999204732,0
3.0,1.0,160.0,1268380.0,2,20.0,0
2.0,1.0,70.0,508533.0,2,242.66048000850537,0
2.0,2.0,85.0,1043550.0,4,56.724821735233476,0
2.0,1.0,83.0,591959.0,5,42.073330686970856,0
1.0,1.0,29.0,219560.0,2,115.0,0
2.0,2.0,139.0,1988340.0,5,281.8345951250741,0
3.0,2.0,102.0,1279660.0,5,144.54500715036332,0
4.0,3.0,227.0,2487160.0,1,237.0,0
4.0,2.0,220.0,2573260.0,3,27.20369326730512,0
3.0,2.0,108.0,799870.0,2,119.0,0
4.0,2.0,167.0,1631680.0,5,238.53010494429904,0
3.0,3.0,210.0,2122190.0,2,253.0,0
3.0,3.0,160.0,1006330.0,3,227.0,0
2.0,1.0,48.0,421264.0,4,67.0,0
3.0,4.0,197.0,2077230.0,4,110.69976469006794,0
3.0,2.0,148.0,855624.0,4,106.0,0
3.0,1.0,109.0,1285160.0,5,68.38044655467749,0
3.0,1.0,193.0,2120900.0,5,308.69333775189125,0
4.0,6.0,348.0,4227070.0,4,35.624864867263696,0
3.0,2.0,105.0,989706.0,2,86.66252793319357,0
1.0,1.0,46.0,485065.0,1,80.0,0
3.0,2.0,90.0,713702.0,1,58.0,0
2.0,1.0,72.0,1098790.0,1,35.75392100451299,0
1.0,1.0,50.0,560319.0,3,119.0,0
3.0,2.0,156.0,1445890.0,2,14.0,0
4.0,4.0,172.0,1080700.0,2,75.0,0
3.0,2.0,76.0,786992.0,3,103.92044307150229,0
4.0,4.0,450.0,4992760.0,4,320.96015898360525,0
3.0,1.0,190.0,2727660.0,1,177.75616075975327,0
2.0,1.0,51.0,788094.0,3,70.56296813996036,0
3.0,2.0,108.0,934516.0,2,116.0,0
2.0,1.0,98.0,1128140.0,4,79.0,0
4.0,4.0,260.0,2279970.0,3,21.0,0
2.0,1.0,135.0,1072790.0,1,71.52439939830066,0
2.0,2.0,78.0,558406.0,5,8.0,0
2.0,1.0,70.0,409797.0,2,47.0,0
2.0,1.0,100.0,1158270.0,2,169.93770192086382,0
4.0,4.0,242.0,4087440.0,4,71.35532373073022,0
4.0,4.0,302.0,3185290.0,2,21.924594426652803,0
1.0,1.0,27.0,417512.0,5,48.71128053604189,0
4.0,4.0,227.0,3699960.0,1,12.0,0
4.0,4.0,175.0,1274780.0,3,7.645702335151161,0
2.0,2.0,60.0,876611.0,1,272.45472141549817,0
2.0,4.0,380.0,4663710.0,5,109.70574578477137,0
3.0,1.0,128.0,1325830.0,2,44.0,0
4.0,1.0,110.0,1070330.0,5,9.0,0
3.0,2.0,192.0,2051220.0,3,216.0,0
3.0,1.0,120.0,2345390.0,5,277.90769817735963,0
3.0,2.0,149.0,2392190.0,4,73.73244015761401,0
2.0,1.0,69.0,707221.0,4,8.054961986626644,0
3.0,2.0,120.0,929580.0,1,42.0,0
4.0,3.0,200.0,1978080.0,4,260.4147413902488,0
2.0,4.0,196.0,1644390.0,1,26.0,0
2.0,1.0,112.0,2186590.0,5,96.41144664564312,0
4.0,5.0,240.0,2647900.0,2,337.30612840945116,0
4.0,2.0,104.0,1035160.0,4,109.28883527691991,0
3.0,2.0,160.0,1528250.0,1,349.64234435515374,0
3.0,3.0,140.0,1589890.0,1,5.0,0
3.0,1.0,141.0,783239.0,5,282.0,0
4.0,5.0,418.0,3990940.0,3,4.425690852451778,0
3.0,2.0,127.0,1256080.0,3,140.98508238915525,0
3.0,1.0,72.0,614749.0,3,70.0,0
2.0,1.0,60.0,941701.0,2,37.146246825362965,0
4.0,2.0,260.0,2208270.0,1,1.1516281094243783,0
3.0,2.0,105.0,1141920.0,1,118.99321062530001,0
2.0,1.0,83.0,854472.0,4,286.0,0
3.0,2.0,85.0,971265.0,3,143.08371546729154,0
2.0,1.0,120.0,841683.0,2,22.0,0
4.0,2.0,2215.9,1884900.0,1,3637.15,1
2.0,1.0,70.0,684875.0,3,113.0639654433482,0
1.0,1.0,27.0,299452.0,5,52.0,0
4.0,4.0,337.0,3219930.0,3,111.88303431309484,0
4.0,3.0,186.0,1477850.0,4,16.0,0
3.0,2.0,170.0,1023040.0,2,248.2764503642757,0
2.0,1.0,102.0,1223090.0,1,136.0,0
3.0,2.0,87.0,643919.0,3,184.71037991159116,0
2.0,2.0,60.0,534337.0,2,11.0,0
1.0,1.0,60.0,672383.0,5,53.343618983777816,0
3.0,2.0,95.0,891896.0,5,284.89852346832964,0
2.0,1.0,58.0,432926.0,3,251.0,0
2.0,1.0,90.0,787823.0,4,56.0,0
3.0,1.0,113.0,937176.0,4,136.0,0
2.0,1.0,70.0,714446.0,1,241.512171627553,0
4.0,3.0,151.0,1724810.0,5,228.6545359824631,0
4.0,3.0,260.0,1477810.0,1,87.0,0
4.0,4.0,209.0,1601130.0,4,63.0,0
3.0,3.0,200.0,1676750.0,3,255.0,0
4.0,4.0,258.0,1881200.0,2,61.0,0
3.0,1.0,115.0,1111470.0,2,15.155811865845315,0
4.0,3.0,140.0,1213160.0,2,85.6963322127993,0
3.0,1.0,170.0,1364580.0,4,178.21106359431852,0
1.0,1.0,40.0,460711.0,1,126.0,0
3.0,1.0,200.0,1860260.0,5,219.80235387139626,0
3.0,4.0,132.0,1338750.0,1,229.0,0
3.0,1.0,115.0,895611.0,5,151.0,0
3.0,1.0,107.0,1024140.0,1,18.0,0
4.0,5.0,331.0,4653770.0,3,233.9725706075585,0
2.0,1.0,128.0,1278170.0,3,7.0,0
2.0,1.0,84.0,723804.0,2,16.0,0
6.0,4.0,277.0,4347780.0,5,213.4809776367263,1
3.0,1.0,125.0,1261520.0,1,145.0,0
3.0,2.0,107.0,815630.0,3,92.0,0
3.0,1.0,115.0,1427820.0,5,171.15613191013614,0
2.0,13.0,45.0,464574.0,4,111.0,1
3.0,1.0,1872.16,1001210.0,2,72.0,1
3.0,2.0,100.0,743513.0,4,11.0,0
3.0,1.0,125.0,1167230.0,5,18.481640092623955,0
3.0,1.0,120.0,864873.0,5,34.0,0
4.0,2.0,105.0,651532.0,3,37.565338083201645,0
4.0,4.0,225.0,2403010.0,1,78.0,0
2.0,1.0,65.0,318041.0,1,23.0,0
2.0,1.0,96.0,758637.0,2,18.0,0
2.0,1.0,70.0,586642.0,4,7.6343311137376,0
3.0,2.0,120.0,1070870.0,5,98.29043391637754,0
2.0,2.0,190.0,2680500.0,2,256.9495539898513,0
4.0,2.0,138.0,1252230.0,3,63.62141366533288,0
2.0,2.0,65.0,957808.0,1,49.0,0
4.0,4.0,249.0,3553340.0,5,42.02258022985552,0
3.0,1.0,150.0,1376120.0,2,43.0,0
1.0,1.0,51.0,770859.0,2,216.25173491733116,0
3.0,2.0,230.0,2370240.0,2,238.21910227199052,0
3.0,1.0,125.0,1057740.0,1,306.9312707682182,0
4.0,3.0,120.0,1226770.0,1,30.0,0
2.0,1.0,34.0,423103.0,3,2.8367120900049163,0
4.0,2.0,133.0,1087580.0,3,141.49268424916553,0
2.0,1.0,56.0,285503.0,1,6.0,0
3.0,2.0,156.0,1212560.0,3,93.0,0
3.0,3.0,355.0,1504030.0,4,48.18481617755801,0
2.0,2.0,56.0,640063.0,4,319.1777353764195,0
3.0,2.0,120.0,1261040.0,1,20.997472714518754,0
4.0,2.0,119.0,907445.0,3,231.31666723476098,0
1.0,1.0,63.0,738176.0,1,300.5252393448724,0
2.0,1.0,58.0,371633.0,4,14.0,0
3.0,2.0,159.0,1859320.0,4,47.270250708398606,0
3.0,1.0,93.0,631650.0,4,86.58323914907706,0
3.0,2.0,75.0,797402.0,2,9.614533088939703,0
2.0,2.0,183.0,1647530.0,3,225.0,0
3.0,1.0,74.0,493399.0,1,10.0,0
2.0,1.0,93.0,835395.0,1,43.00619483699946,0
4.0,4.0,154.0,1296860.0,1,186.24548213058202,0
1.0,1.0,60.0,748535.0,3,11.556606616051038,0
4.0,4.0,167.0,1991330.0,3,183.58267143877026,0
3.0,3.0,191.0,2144860.0,2,8.380450801721855,0
2.0,1.0,42.0,675027.0,1,297.2687517048518,0
4.0,4.0,139.0,993263.0,4,33.0,0
4.0,2.0,103.0,892539.0,1,8.0,0
3.0,1.0,145.0,1438450.0,5,38.0,0
2.0,2.0,76.0,883420.0,4,27.0,0
2.0,2.0,120.0,1327740.0,1,50.551905074791954,0
3.0,1.0,128.0,1166250.0,2,24.727077284913587,0
4.0,4.0,222.0,3022890.0,4,233.63997999045773,0
2.0,1.0,59.0,425361.0,1,57.0,0
2.0,1.0,2339.28,746240.0,2,8108.72,1
3.0,2.0,250.0,2082030.0,4,154.0,0
3.0,20.0,140.0,1170130.0,5,250.9150482387776,1
3.0,2.0,180.0,2617960.0,3,159.9376280033747,0
2.0,1.0,62.0,736518.0,1,112.66597531087301,0
3.0,2.0,62.0,527565.0,5,22.0,0
4.0,3.0,131.0,1668660.0,3,45.257638442243845,0
4.0,5.0,454.0,4398680.0,5,107.91022894210494,0
4.0,5.0,448.0,4443540.0,5,11.948316067238359,0
3.0,3.0,115.0,1415710.0,4,83.34918448437921,0
3.0,1.0,120.0,1358760.0,2,329.30461393137267,0
3.0,1.0,110.0,1439160.0,2,152.99216584125054,0
3.0,1.0,172.0,2331310.0,4,349.20992406828316,0
3.0,2.0,109.0,1179960.0,3,326.47885178083374,0
4.0,2.0,214.0,1798900.0,2,58.44604487993309,0
3.0,2.0,85.0,834268.0,5,188.0,0
2.0,1.0,57.0,411439.0,5,23.0,0
3.0,1.0,97.0,905314.0,1,48.0,0
2.0,2.0,95.0,834725.0,4,34.0,0
2.0,1.0,48.0,340006.0,3,13.073575625256133,0
3.0,4.0,345.0,3615950.0,1,66.30252190002611,0
